envId,formationType,timeStep,receiverId,old_theta,delta_T,dynamic_theta
0,0,1,1,10.0,-1.343673825263977,8.656326174736023
0,0,1,2,8.656326174736023,0.03853321075439453,8.694859385490417
0,0,1,3,8.694859385490417,-0.8787658214569092,7.816093564033508
0,0,1,4,7.816093564033508,-0.998929500579834,6.817164063453674
0,0,1,5,6.817164063453674,-1.2046282291412354,5.612535834312439
0,0,1,6,5.612535834312439,-1.3216533660888672,4.290882468223572
0,0,1,7,4.290882468223572,-1.2672196626663208,3.023662805557251
0,0,1,8,3.023662805557251,-0.6352667808532715,2.3883960247039795
0,0,1,9,2.3883960247039795,-0.6860995292663574,1.702296495437622
0,0,1,10,1.702296495437622,-0.1820240020751953,1.5202724933624268
0,0,1,11,1.5202724933624268,-0.23944377899169922,1.2808287143707275
0,0,1,12,1.2808287143707275,-0.21205878257751465,1.068769931793213
0,0,1,13,1.068769931793213,-0.2992856502532959,1.0
0,0,1,14,1.0,-0.4503268003463745,1.0
0,0,1,15,1.0,1.6953403949737549,2.695340394973755
0,0,1,16,2.695340394973755,-1.0085567235946655,1.6867836713790894
0,0,1,17,1.6867836713790894,-0.6101967096328735,1.0765869617462158
0,0,1,18,1.0765869617462158,-0.08530402183532715,1.0
0,0,1,19,1.0,0.31733036041259766,1.3173303604125977
0,0,1,20,1.3173303604125977,0.2814033031463623,1.59873366355896
0,0,2,1,1.59873366355896,0.21114349365234375,1.8098771572113037
0,0,2,2,1.8098771572113037,0.4051394462585449,2.2150166034698486
0,0,2,3,2.2150166034698486,0.364917516708374,2.5799341201782227
0,0,2,4,2.5799341201782227,0.15657281875610352,2.736506938934326
0,0,2,5,2.736506938934326,-0.17821860313415527,2.558288335800171
0,0,2,6,2.558288335800171,-0.5424106121063232,2.0158777236938477
0,0,2,7,2.0158777236938477,-0.5118677616119385,1.5040099620819092
0,0,2,8,1.5040099620819092,-0.316198468208313,1.1878114938735962
0,0,2,9,1.1878114938735962,-0.15572261810302734,1.0320888757705688
0,0,2,10,1.0320888757705688,-0.15941619873046875,1.0
0,0,2,11,1.0,-0.12755179405212402,1.0
0,0,2,12,1.0,-0.13936972618103027,1.0
0,0,2,13,1.0,-0.17067265510559082,1.0
0,0,2,14,1.0,-0.21249794960021973,1.0
0,0,2,15,1.0,0.301541805267334,1.301541805267334
0,0,2,16,1.301541805267334,-0.3191068172454834,1.0
0,0,2,17,1.0,0.06668758392333984,1.0666875839233398
0,0,2,18,1.0666875839233398,0.4976918697357178,1.5643794536590576
0,0,2,19,1.5643794536590576,0.5945596694946289,2.1589391231536865
0,0,2,20,2.1589391231536865,0.6027553081512451,2.7616944313049316
0,0,3,1,2.7616944313049316,0.06726455688476562,2.8289589881896973
0,0,3,2,2.8289589881896973,-0.49013447761535645,2.338824510574341
0,0,3,3,2.338824510574341,0.3174154758453369,2.6562399864196777
0,0,3,4,2.6562399864196777,0.20607972145080566,2.8623197078704834
0,0,3,5,2.8623197078704834,-0.2921614646911621,2.5701582431793213
0,0,3,6,2.5701582431793213,-0.5871647596359253,1.982993483543396
0,0,3,7,1.982993483543396,-0.468364953994751,1.514628529548645
0,0,3,8,1.514628529548645,-0.24058938026428223,1.2740391492843628
0,0,3,9,1.2740391492843628,-0.13189363479614258,1.1421455144882202
0,0,3,10,1.1421455144882202,-0.16109371185302734,1.0
0,0,3,11,1.0,-0.15855801105499268,1.0
0,0,3,12,1.0,-0.17983102798461914,1.0
0,0,3,13,1.0,-0.22106218338012695,1.0
0,0,3,14,1.0,-0.14269983768463135,1.0
