Method,Recall,FP Rate,Precision,F1,Accuracy
Phase 1 Only,0.839108187134503,0.31301575698505524,0.2294996751137102,0.3604223085678402,0.7021966374269006
Final Phase 1+2,0.9487938596491228,0.6613446231319038,0.13748851349383104,0.24017375334519134,0.39966922514619885
