envId,formationType,timeStep,receiverId,sigma_rssi_bar,sigma_gps_bar,snr_bar,plr_bar,relative_speed_bar,relative_height_bar,trusted_count,trust_bar,theta,malicious_ratio
0,0,1,1,1876.32517383509,1876.32517383509,100,0.0962746304501816,0,3.57643582803389,17,0.999999999999996,10,0.1
0,0,1,2,66.0827586152108,0.443021628655654,100,0.0480407550344688,0,7.10564619967805,3,0.601446844273511,10,0.1
0,0,1,3,1618.38601584255,1618.38601584255,100,0.0677225109693858,0,4.82788136286317,16,0.999999999999997,10,0.1
0,0,1,4,1615.63012687054,1615.63012687054,100,0.0641048186610119,0,4.49996605558959,17,0.999999999999996,10,0.1
0,0,1,5,1414.14022043399,1414.14022043399,100,0.0554704504096878,0,4.04722398647229,17,0.999999999999996,10,0.1
0,0,1,6,1189.32223061073,1189.32223061073,100,0.0480835444125397,0,3.61340053406226,17,0.999999999999997,10,0.1
0,0,1,7,970.374272678961,970.374272678962,100,0.0420808536383361,0,3.49342405858691,17,0.999999999999997,10,0.1
0,0,1,8,815.120721429631,820.16597881389,100,0.0406436981811902,0,4.13167950578436,14,0.965081543308367,10,0.1
0,0,1,9,547.954433467082,543.874714811082,100,0.0351606687282838,0,3.96755935353632,10,0.986208235073198,10,0.1
0,0,1,10,568.803921879219,545.468697015883,100,0.0361537131367846,0,5.17472237013989,13,0.956239736597795,10,0.1
0,0,1,11,521.1257043485,521.1257043485,100,0.0328663167097885,0,5.93776660571136,17,0.999999999999998,10,0.1
0,0,1,12,549.032416213342,549.032416213342,100,0.0340638542111322,0,5.77415846938042,17,0.999999999999998,10,0.1
0,0,1,13,628.764459967128,628.764459967129,100,0.0366050534333523,0,5.06574245473779,17,0.999999999999997,10,0.1
0,0,1,14,751.081506339644,751.081506339645,100,0.0405286737346837,0,4.24600373168945,17,0.999999999999998,10,0.1
0,0,1,15,125.646387480587,34.1571826693958,100,0.126847773923999,0,2.87907133905863,2,0.72142223693981,10,0.1
0,0,1,16,1170.20041060269,1170.20041060269,100,0.0525179004061097,0,3.49342405858691,17,0.999999999999996,10,0.1
0,0,1,17,1437.79655495514,1437.79655495514,100,0.0605097400532801,0,3.77985374217676,17,0.999999999999997,10,0.1
0,0,1,18,1675.00591484641,1675.00591484641,100,0.0697302729165826,0,4.25948679115943,17,0.999999999999997,10,0.1
0,0,1,19,1847.96513517595,1847.96513517595,100,0.0800482355524089,0,4.60935641844901,17,0.999999999999997,10,0.1
0,0,1,20,1917.01065236219,1917.01065236219,100,0.091353592965937,0,4.38308226430104,17,0.999999999999996,10,0.1
0,0,2,1,1877.17631196021,1877.1763119602,100,0.0962698099668603,0.556492427058292,3.53487675260361,17,0.999999999999993,10,0.1
0,0,2,2,1953.95080550952,1132.48654316868,100,0.0824468495039017,0.681372535175884,4.1827058185153,0,0,10,0.1
0,0,2,3,1756.09210656888,1756.09210656888,100,0.0738857500573416,0.573108748297168,4.69792500264384,17,0.999999999999997,10,0.1
0,0,2,4,1613.17590835312,1613.17590835312,100,0.0640867440289365,0.5876050741753,4.35467421163026,17,0.999999999999996,10,0.1
0,0,2,5,1412.66907201772,1412.66907201772,100,0.0554247369554872,0.726943035881954,3.84183255249054,17,0.999999999999997,10,0.1
0,0,2,6,1189.04879236302,1189.04879236302,100,0.0480454499975795,0.887512806050156,3.53487675260361,17,0.999999999999997,10,0.1
0,0,2,7,971.561672685056,971.561672685056,100,0.0420808017011446,0.973031228975241,3.5692144840316,17,0.999999999999997,10,0.1
0,0,2,8,783.417195117798,783.417195117798,100,0.0376044984094031,0.914138004413236,4.11709539275541,17,0.999999999999998,10,0.1
0,0,2,9,640.615230632157,640.615230632157,100,0.0346136101788939,0.761976509695981,4.93042719598359,17,0.999999999999998,10,0.1
0,0,2,10,552.078525938305,552.078525938304,100,0.0330507749549747,0.605812247614611,5.65804183695941,17,0.999999999999997,10,0.1
0,0,2,11,521.159824820597,521.159824820597,100,0.0328539125982734,0.555037365174541,5.86774788376564,17,0.999999999999998,10,0.1
0,0,2,12,547.230356944038,547.230356944038,100,0.0340014692129667,0.685047148528314,5.37743482096791,17,0.999999999999997,10,0.1
0,0,2,13,626.064849844742,626.064849844742,100,0.0365233651144636,0.88208111220873,4.56120408587886,17,0.999999999999997,10,0.1
