envId,envName,static_accuracy,static_precision,static_recall,static_f1,static_fp_rate,sac_accuracy,sac_precision,sac_recall,sac_f1,sac_fp_rate
0,Perfect,0.9049707602339181,0.5156063527035711,0.8211257309941521,0.6334517566119664,0.08571312540610786,0.9057017543859649,0.5151256593236115,0.970906432748538,0.6731198053922561,0.10154320987654321
1,Open,0.797719298245614,0.309756893457334,0.8326754385964912,0.4515400166488286,0.20616471734892788,0.8384576023391813,0.35813702692683586,0.7768274853801169,0.4902544229926418,0.15469460688758935
2,Suburban,0.6516885964912281,0.20366396231353048,0.8532894736842105,0.3288400591590957,0.3707115009746589,0.8229459064327486,0.3203952973249276,0.6872807017543859,0.43704822777454966,0.1619801819363223
3,DenseUrban,0.4544078947368421,0.1380010689470871,0.8493421052631579,0.23742528735632182,0.5894736842105263,0.8031578947368421,0.26208605703613247,0.533406432748538,0.3514763258031887,0.16686972059779076
