envId,formationType,timeStep,receiverId,old_theta,delta_T,dynamic_theta
0,0,1,1,10.0,-1.343673825263977,8.656326174736023
0,0,1,2,10.0,0.035579681396484375,10.035579681396484
0,0,1,3,10.0,-1.0276625156402588,8.972337484359741
0,0,1,4,10.0,-1.219348669052124,8.780651330947876
0,0,1,5,10.0,-1.4454619884490967,8.554538011550903
0,0,1,6,10.0,-1.564731478691101,8.435268521308899
0,0,1,7,10.0,-1.6086715459823608,8.39132845401764
0,0,1,8,10.0,-1.4415181875228882,8.558481812477112
0,0,1,9,10.0,-1.3111802339553833,8.688819766044617
0,0,1,10,10.0,-1.1836204528808594,8.81637954711914
0,0,1,11,10.0,-0.9011023044586182,9.098897695541382
0,0,1,12,10.0,-0.9728484153747559,9.027151584625244
0,0,1,13,10.0,-1.2705519199371338,8.729448080062866
0,0,1,14,10.0,-1.4341497421264648,8.565850257873535
0,0,1,15,10.0,0.08403611183166504,10.084036111831665
0,0,1,16,10.0,-1.5791455507278442,8.420854449272156
0,0,1,17,10.0,-1.4993168115615845,8.500683188438416
0,0,1,18,10.0,-1.2722694873809814,8.727730512619019
0,0,1,19,10.0,-1.022074580192566,8.977925419807434
0,0,1,20,10.0,-1.0194928646087646,8.980507135391235
0,0,2,1,10.0,-0.979500412940979,9.020499587059021
0,0,2,2,10.0,-0.4691225290298462,9.530877470970154
0,0,2,3,10.0,-0.5515873432159424,9.448412656784058
0,0,2,4,10.0,-0.8716402053833008,9.1283597946167
0,0,2,5,10.0,-1.154937505722046,8.845062494277954
0,0,2,6,10.0,-1.1157634258270264,8.884236574172974
0,0,2,7,10.0,-0.8638355731964111,9.136164426803589
0,0,2,8,10.0,-0.723619818687439,9.276380181312561
0,0,2,9,10.0,-0.8094630241394043,9.190536975860596
0,0,2,10,10.0,-0.9240094423294067,9.075990557670593
0,0,2,11,10.0,-0.8829566240310669,9.117043375968933
0,0,2,12,10.0,-0.8944332599639893,9.10556674003601
0,0,2,13,10.0,-0.6874854564666748,9.312514543533325
0,0,2,14,10.0,-0.5984722375869751,9.401527762413025
0,0,2,15,10.0,0.14000177383422852,10.140001773834229
0,0,2,16,10.0,-0.711357831954956,9.288642168045044
0,0,2,17,10.0,-0.8884550333023071,9.111544966697693
0,0,2,18,10.0,-0.3688943386077881,9.631105661392212
0,0,2,19,10.0,-0.28937721252441406,9.710622787475586
0,0,2,20,10.0,-0.20486915111541748,9.795130848884583
0,0,3,1,10.0,-1.0105241537094116,8.989475846290588
0,0,3,2,10.0,-0.37323319911956787,9.626766800880432
0,0,3,3,10.0,-0.9092539548873901,9.09074604511261
0,0,3,4,10.0,-0.8646788597106934,9.135321140289307
0,0,3,5,10.0,-1.207539439201355,8.792460560798645
0,0,3,6,10.0,-1.0909974575042725,8.909002542495728
0,0,3,7,10.0,-0.9106935262680054,9.089306473731995
0,0,3,8,10.0,-0.7968263626098633,9.203173637390137
0,0,3,9,10.0,-0.8868274688720703,9.11317253112793
0,0,3,10,10.0,-0.9283394813537598,9.07166051864624
0,0,3,11,10.0,-0.8822537660598755,9.117746233940125
0,0,3,12,10.0,-0.8136255741119385,9.186374425888062
0,0,3,13,10.0,-0.5889160633087158,9.411083936691284
0,0,3,14,10.0,-0.5416116714477539,9.458388328552246
0,0,3,15,10.0,-0.18265092372894287,9.817349076271057
0,0,3,16,10.0,-0.7671835422515869,9.232816457748413
0,0,3,17,10.0,-0.7585551738739014,9.241444826126099
0,0,3,18,10.0,-0.49998700618743896,9.500012993812561
0,0,3,19,10.0,-0.5693874359130859,9.430612564086914
0,0,3,20,10.0,-0.725426197052002,9.274573802947998
0,0,4,1,10.0,-1.1867358684539795,8.81326413154602
0,0,4,2,10.0,-0.43628430366516113,9.563715696334839
0,0,4,3,10.0,-0.6384439468383789,9.361556053161621
0,0,4,4,10.0,-1.0650551319122314,8.934944868087769
0,0,4,5,10.0,-1.2210146188735962,8.778985381126404
0,0,4,6,10.0,-1.110267996788025,8.889732003211975
0,0,4,7,10.0,-0.9735465049743652,9.026453495025635
0,0,4,8,10.0,-0.8075127601623535,9.192487239837646
0,0,4,9,10.0,-0.9345512390136719,9.065448760986328
0,0,4,10,10.0,-0.9197319746017456,9.080268025398254
0,0,4,11,10.0,-0.8503313064575195,9.14966869354248
0,0,4,12,10.0,-0.6855559349060059,9.314444065093994
0,0,4,13,10.0,-0.5139553546905518,9.486044645309448
0,0,4,14,10.0,-0.5215171575546265,9.478482842445374
0,0,4,15,10.0,-0.45278286933898926,9.54721713066101
0,0,4,16,10.0,-0.7551374435424805,9.24486255645752
0,0,4,17,10.0,-0.5612664222717285,9.438733577728271
0,0,4,18,10.0,-0.47035467624664307,9.529645323753357
0,0,4,19,10.0,-0.669377326965332,9.330622673034668
0,0,4,20,10.0,-0.8202478885650635,9.179752111434937
0,0,5,1,10.0,-1.1108852624893188,8.889114737510681
0,0,5,2,10.0,0.18659329414367676,10.186593294143677
0,0,5,3,10.0,-0.7481827735900879,9.251817226409912
0,0,5,4,10.0,-1.1896891593933105,8.81031084060669
0,0,5,5,10.0,-1.1305434703826904,8.86945652961731
0,0,5,6,10.0,-0.46050870418548584,9.539491295814514
0,0,5,7,10.0,-0.997778058052063,9.002221941947937
