method,TN,FP,FN,TP,accuracy,precision,recall,f1,fp_rate,fn_rate
phase1_only,338326,154154,8804,45916,0.7021966374269006,0.2294996751137102,0.839108187134503,0.3604223085678402,0.31301575698505524,0.16089181286549709
phase2_only,320935,171545,48718,6002,0.5974725877192982,0.03380513328865033,0.10968567251461989,0.05168190057132523,0.3483288661468486,0.8903143274853801
final_phase1_or_phase2,166781,325699,2802,51918,0.39966922514619885,0.13748851349383104,0.9487938596491228,0.24017375334519134,0.6613446231319038,0.05120614035087719
