method,TN,FP,FN,TP,accuracy,precision,recall,f1,fp_rate,fn_rate
Static Phase 1 θ=10,338326,154154,8804,45916,0.7021966374269006,0.2294996751137102,0.839108187134503,0.3604223085678402,0.31301575698505524,0.16089181286549709
SAC Dynamic Phase 1,420444,72036,14112,40608,0.8425657894736842,0.3604985618408437,0.7421052631578947,0.4852656485265649,0.14627192982456141,0.2578947368421053
Static Final Phase 1+2,166781,325699,2802,51918,0.39966922514619885,0.13748851349383104,0.9487938596491228,0.24017375334519134,0.6613446231319038,0.05120614035087719
