attack_type,malicious_ratio,envId,envName,formationType,formationName,method,TN,FP,FN,TP,accuracy,precision,recall,f1,fp_rate,fn_rate
random,0.1,0,Perfect-NoNoise,0,Horizontal,Static Phase 1,37641,3399,945,3615,0.904736842105263,0.515397775876818,0.792763157894737,0.624675997926387,0.0828216374269006,0.207236842105263
random,0.1,0,Perfect-NoNoise,0,Horizontal,Static Phase 1+2,29464,11576,552,4008,0.734035087719298,0.257186858316222,0.878947368421053,0.397934868943606,0.282066276803119,0.121052631578947
random,0.1,0,Perfect-NoNoise,0,Horizontal,SAC Dynamic Phase 1,36859,4181,88,4472,0.906381578947368,0.516814977464463,0.980701754385965,0.676909104669643,0.101876218323587,0.0192982456140351
random,0.1,0,Perfect-NoNoise,0,Horizontal,SAC Dynamic Phase 1+2,36151,4889,49,4511,0.89171052631579,0.479893617021277,0.989254385964912,0.646275071633238,0.119127680311891,0.0107456140350877
random,0.1,0,Perfect-NoNoise,1,Random-Matrix,Static Phase 1,37370,3670,674,3886,0.904736842105263,0.514293276866067,0.85219298245614,0.641465830307032,0.0894249512670565,0.14780701754386
random,0.1,0,Perfect-NoNoise,1,Random-Matrix,Static Phase 1+2,33152,7888,306,4254,0.82030701754386,0.350354142645363,0.932894736842105,0.509400071847683,0.192202729044834,0.0671052631578947
random,0.1,0,Perfect-NoNoise,1,Random-Matrix,SAC Dynamic Phase 1,36835,4205,88,4472,0.905855263157895,0.515385501901579,0.980701754385965,0.675681801012314,0.102461013645224,0.0192982456140351
random,0.1,0,Perfect-NoNoise,1,Random-Matrix,SAC Dynamic Phase 1+2,36391,4649,31,4529,0.897368421052632,0.493462628023535,0.993201754385965,0.659339059542874,0.113279727095517,0.00679824561403509
random,0.1,0,Perfect-NoNoise,2,Circular,Static Phase 1,37548,3492,836,3724,0.905087719298246,0.516075388026608,0.816666666666667,0.632472826086957,0.0850877192982456,0.183333333333333
random,0.1,0,Perfect-NoNoise,2,Circular,Static Phase 1+2,37144,3896,7,4553,0.914407894736842,0.538880340868742,0.998464912280702,0.699976939042201,0.0949317738791423,0.00153508771929825
random,0.1,0,Perfect-NoNoise,2,Circular,SAC Dynamic Phase 1,36925,4115,150,4410,0.906469298245614,0.517302052785924,0.967105263157895,0.674054260603745,0.100268031189084,0.0328947368421053
random,0.1,0,Perfect-NoNoise,2,Circular,SAC Dynamic Phase 1+2,36901,4139,0,4560,0.909232456140351,0.524198183699276,1,0.687834678331699,0.100852826510721,0
random,0.1,1,Open,0,Horizontal,Static Phase 1,27725,13315,915,3645,0.687938596491228,0.214917452830189,0.799342105263158,0.338754646840149,0.324439571150097,0.200657894736842
random,0.1,1,Open,0,Horizontal,Static Phase 1+2,7052,33988,46,4514,0.253640350877193,0.117240662822711,0.989912280701754,0.209651200594492,0.828167641325536,0.0100877192982456
random,0.1,1,Open,0,Horizontal,SAC Dynamic Phase 1,26657,14383,827,3733,0.666447368421053,0.20606094060499,0.818640350877193,0.329246780737343,0.350462962962963,0.181359649122807
