step,envId,formationType,timeStep,receiverId,old_threshold,delta_T,new_threshold,benign_exceedance_rate,reward
70,0,0,4,12,48.85407876968384,-1.900429606437683,46.953649163246155,0.0,-0.08556997605349503
71,0,0,4,13,46.953649163246155,-1.979772686958313,44.97387647628784,0.0,-0.08666887539654923
72,0,0,4,14,44.97387647628784,-1.9414039850234985,43.03247249126434,0.0,-0.08322296682191556
73,0,0,4,15,43.03247249126434,-1.2929608821868896,41.739511609077454,0.0,-0.06095699003773246
74,0,0,4,16,41.739511609077454,1.999913215637207,43.73942482471466,0.0,-0.0862359535255182
75,0,0,4,17,43.73942482471466,2.0,45.73942482471466,0.0,-0.08823942482471467
76,0,0,4,18,45.73942482471466,2.0,47.73942482471466,0.0,-0.09023942482471467
77,0,0,4,19,47.73942482471466,2.0,49.73942482471466,0.0,-0.09223942482471467
78,0,0,4,20,49.73942482471466,2.0,50.0,0.0,-0.0925
79,0,0,5,1,50.0,2.0,50.0,0.0,-0.0925
80,0,0,5,2,50.0,2.0,50.0,0.0,-0.0925
81,0,0,5,3,50.0,2.0,50.0,0.0,-0.0925
82,0,0,5,4,50.0,2.0,50.0,0.0,-0.0925
83,0,0,5,5,50.0,2.0,50.0,0.0,-0.0925
84,0,0,5,6,50.0,2.0,50.0,0.0,-0.0925
85,0,0,5,7,50.0,2.0,50.0,0.0,-0.0925
86,0,0,5,8,50.0,2.0,50.0,0.0,-0.0925
87,0,0,5,9,50.0,2.0,50.0,0.0,-0.0925
88,0,0,5,10,50.0,1.9194130897521973,50.0,0.0,-0.08934146609112077
89,0,0,5,11,50.0,-1.226456642150879,48.77354335784912,0.0,-0.06631550230860922
90,0,0,5,12,48.77354335784912,-1.933083176612854,46.84046018123627,0.0,-0.08670856585827269
91,0,0,5,13,46.84046018123627,-1.9861277341842651,44.854332447052,0.0,-0.08680136621201123
92,0,0,5,14,44.854332447052,-1.9510002136230469,42.903332233428955,0.0,-0.0834673505690007
93,0,0,5,15,42.903332233428955,-1.2626876831054688,41.640644550323486,0.0,-0.06008444640098606
94,0,0,5,16,41.640644550323486,1.9999639987945557,43.64060854911804,0.0,-0.08613916851386114
95,0,0,5,17,43.64060854911804,2.0,45.64060854911804,0.0,-0.08814060854911805
96,0,0,5,18,45.64060854911804,2.0,47.64060854911804,0.0,-0.09014060854911804
97,0,0,5,19,47.64060854911804,2.0,49.64060854911804,0.0,-0.09214060854911804
98,0,0,5,20,49.64060854911804,2.0,50.0,0.0,-0.0925
99,0,0,6,1,50.0,2.0,50.0,0.0,-0.0925
100,0,0,6,2,50.0,2.0,50.0,0.0,-0.0925
101,0,0,6,3,50.0,2.0,50.0,0.0,-0.0925
102,0,0,6,4,50.0,2.0,50.0,0.0,-0.0925
103,0,0,6,5,50.0,2.0,50.0,0.0,-0.0925
104,0,0,6,6,50.0,2.0,50.0,0.0,-0.0925
105,0,0,6,7,50.0,2.0,50.0,0.0,-0.0925
106,0,0,6,8,50.0,2.0,50.0,0.0,-0.0925
107,0,0,6,9,50.0,2.0,50.0,0.0,-0.0925
108,0,0,6,10,50.0,1.8998970985412598,50.0,0.0,-0.08859608985045497
109,0,0,6,11,50.0,-1.3439167737960815,48.65608322620392,0.0,-0.0692172061751086
110,0,0,6,12,48.65608322620392,-1.9563217163085938,46.699761509895325,0.0,-0.08747170808690136
111,0,0,6,13,46.699761509895325,-1.98954176902771,44.710219740867615,0.0,-0.08679298424792671
112,0,0,6,14,44.710219740867615,-1.9516217708587646,42.75859797000885,0.0,-0.08334687333490787
113,0,0,6,15,42.75859797000885,-1.1148558855056763,41.643742084503174,0.0,-0.05657277853896963
114,0,0,6,16,41.643742084503174,1.9999847412109375,43.64372682571411,0.0,-0.08614311647647993
115,0,0,6,17,43.64372682571411,2.0,45.64372682571411,0.0,-0.08814372682571411
116,0,0,6,18,45.64372682571411,2.0,47.64372682571411,0.0,-0.09014372682571412
117,0,0,6,19,47.64372682571411,2.0,49.64372682571411,0.0,-0.09214372682571412
118,0,0,6,20,49.64372682571411,2.0,50.0,0.0,-0.0925
119,0,0,7,1,50.0,2.0,50.0,0.0,-0.0925
120,0,0,7,2,50.0,2.0,50.0,0.0,-0.0925
121,0,0,7,3,50.0,2.0,50.0,0.0,-0.0925
122,0,0,7,4,50.0,2.0,50.0,0.0,-0.0925
123,0,0,7,5,50.0,2.0,50.0,0.0,-0.0925
124,0,0,7,6,50.0,2.0,50.0,0.0,-0.0925
125,0,0,7,7,50.0,2.0,50.0,0.0,-0.0925
126,0,0,7,8,50.0,2.0,50.0,0.0,-0.0925
127,0,0,7,9,50.0,2.0,50.0,0.0,-0.0925
128,0,0,7,10,50.0,1.8394978046417236,50.0,0.0,-0.08633752173281722
129,0,0,7,11,50.0,-1.4718631505966187,48.52813684940338,0.0,-0.07269194819024544
130,0,0,7,12,48.52813684940338,-1.9699716567993164,46.558165192604065,0.0,-0.08786604847853051
131,0,0,7,13,46.558165192604065,-1.9909653663635254,44.56719982624054,0.0,-0.08670663072683102
132,0,0,7,14,44.56719982624054,-1.9421128034591675,42.62508702278137,0.0,-0.08284310843638165
133,0,0,7,15,42.62508702278137,-0.8453574180603027,41.77972960472107,0.0,-0.05142602124741689
134,0,0,7,16,41.77972960472107,1.9999921321868896,43.77972173690796,0.0,-0.08627940702500259
135,0,0,7,17,43.77972173690796,2.0,45.77972173690796,0.0,-0.08827972173690796
136,0,0,7,18,45.77972173690796,2.0,47.77972173690796,0.0,-0.09027972173690796
137,0,0,7,19,47.77972173690796,2.0,49.77972173690796,0.0,-0.09227972173690796
138,0,0,7,20,49.77972173690796,2.0,50.0,0.0,-0.0925
139,0,0,8,1,50.0,2.0,50.0,0.0,-0.0925
140,0,0,8,2,50.0,2.0,50.0,0.0,-0.0925
141,0,0,8,3,50.0,2.0,50.0,0.0,-0.0925
142,0,0,8,4,50.0,2.0,50.0,0.0,-0.0925
143,0,0,8,5,50.0,2.0,50.0,0.0,-0.0925
144,0,0,8,6,50.0,2.0,50.0,0.0,-0.0925
145,0,0,8,7,50.0,2.0,50.0,0.0,-0.0925
146,0,0,8,8,50.0,2.0,50.0,0.0,-0.0925
147,0,0,8,9,50.0,2.0,50.0,0.0,-0.0925
148,0,0,8,10,50.0,1.6926331520080566,50.0,0.0,-0.0811500698727673
149,0,0,8,11,50.0,-1.5930274724960327,48.40697252750397,0.0,-0.07628433780877496
150,0,0,8,12,48.40697252750397,-1.9768325090408325,46.430140018463135,0.0,-0.08800880770646988
151,0,0,8,13,46.430140018463135,-1.9905837774276733,44.43955624103546,0.0,-0.08656379399061771
152,0,0,8,14,44.43955624103546,-1.9190194606781006,42.52053678035736,0.0,-0.08184689368497004
153,0,0,8,15,42.52053678035736,-0.5166692733764648,42.003867506980896,0.0,-0.047173338887494545
154,0,0,8,16,42.003867506980896,1.9999947547912598,44.003862261772156,0.0,-0.08650365245369768
155,0,0,8,17,44.003862261772156,2.0,46.003862261772156,0.0,-0.08850386226177216
156,0,0,8,18,46.003862261772156,2.0,48.003862261772156,0.0,-0.09050386226177216
157,0,0,8,19,48.003862261772156,2.0,50.0,0.0,-0.0925
158,0,0,8,20,50.0,2.0,50.0,0.0,-0.0925
159,0,0,9,1,50.0,2.0,50.0,0.0,-0.0925
160,0,0,9,2,50.0,2.0,50.0,0.0,-0.0925
161,0,0,9,3,50.0,2.0,50.0,0.0,-0.0925
162,0,0,9,4,50.0,2.0,50.0,0.0,-0.0925
163,0,0,9,5,50.0,2.0,50.0,0.0,-0.0925
164,0,0,9,6,50.0,2.0,50.0,0.0,-0.0925
165,0,0,9,7,50.0,2.0,50.0,0.0,-0.0925
166,0,0,9,8,50.0,2.0,50.0,0.0,-0.0925
167,0,0,9,9,50.0,2.0,50.0,0.0,-0.0925
168,0,0,9,10,50.0,1.379176139831543,50.0,0.0,-0.07152126824680637
169,0,0,9,11,50.0,-1.6799495220184326,48.32005047798157,0.0,-0.07904235444328117
170,0,0,9,12,48.32005047798157,-1.9790023565292358,46.34104812145233,0.0,-0.08800555139293503
171,0,0,9,13,46.34104812145233,-1.988309621810913,44.35273849964142,0.0,-0.08638649002149998
172,0,0,9,14,44.35273849964142,-1.8773980140686035,42.475340485572815,0.0,-0.08022157351786019
173,0,0,9,15,42.475340485572815,-0.19993340969085693,42.27540707588196,0.0,-0.04517514075898808
174,0,0,9,16,42.27540707588196,1.999995231628418,44.275402307510376,0.0,-0.08677521157287447
175,0,0,9,17,44.275402307510376,2.0,46.275402307510376,0.0,-0.08877540230751038
176,0,0,9,18,46.275402307510376,2.0,48.275402307510376,0.0,-0.09077540230751038
177,0,0,9,19,48.275402307510376,2.0,50.0,0.0,-0.0925
178,0,0,9,20,50.0,2.0,50.0,0.0,-0.0925
179,0,0,10,1,50.0,2.0,50.0,0.0,-0.0925
180,0,0,10,2,50.0,2.0,50.0,0.0,-0.0925
181,0,0,10,3,50.0,2.0,50.0,0.0,-0.0925
182,0,0,10,4,50.0,2.0,50.0,0.0,-0.0925
183,0,0,10,5,50.0,2.0,50.0,0.0,-0.0925
184,0,0,10,6,50.0,2.0,50.0,0.0,-0.0925
185,0,0,10,7,50.0,2.0,50.0,0.0,-0.0925
186,0,0,10,8,50.0,2.0,50.0,0.0,-0.0925
187,0,0,10,9,50.0,2.0,50.0,0.0,-0.0925
188,0,0,10,10,50.0,0.8609066009521484,50.0,0.0,-0.059911601755629824
189,0,0,10,11,50.0,-1.7212553024291992,48.2787446975708,0.0,-0.08040594285897715
190,0,0,10,12,48.2787446975708,-1.9773731231689453,46.301371574401855,0.0,-0.08790141625671095
191,0,0,10,13,46.301371574401855,-1.9836267232894897,44.317744851112366,0.0,-0.08616549462459436
192,0,0,10,14,44.317744851112366,-1.814151644706726,42.50359320640564,0.0,-0.07791505510632685
193,0,0,10,15,42.50359320640564,0.028666973114013672,42.53226017951965,0.0,-0.04504047813299485
194,0,0,10,16,42.53226017951965,1.9999945163726807,44.532254695892334,0.0,-0.08703203535110027
195,0,0,10,17,44.532254695892334,2.0,46.532254695892334,0.0,-0.08903225469589235
196,0,0,10,18,46.532254695892334,2.0,48.532254695892334,0.0,-0.09103225469589235
197,0,0,10,19,48.532254695892334,2.0,50.0,0.0,-0.0925
198,0,0,10,20,50.0,2.0,50.0,0.0,-0.0925
199,0,0,11,1,50.0,2.0,50.0,0.0,-0.0925
200,0,0,11,2,50.0,2.0,50.0,0.0,-0.0925
201,0,0,11,3,50.0,2.0,50.0,0.0,-0.0925
202,0,0,11,4,50.0,2.0,50.0,0.0,-0.0925
203,0,0,11,5,50.0,2.0,50.0,0.0,-0.0925
204,0,0,11,6,50.0,2.0,50.0,0.0,-0.0925
205,0,0,11,7,50.0,2.0,50.0,0.0,-0.0925
206,0,0,11,8,50.0,2.0,50.0,0.0,-0.0925
207,0,0,11,9,50.0,2.0,50.0,0.0,-0.0925
208,0,0,11,10,50.0,0.25465846061706543,50.0,0.0,-0.05314850931563854
209,0,0,11,11,50.0,-1.7268058061599731,48.27319419384003,0.0,-0.08059177711571798
210,0,0,11,12,48.27319419384003,-1.9717432260513306,46.301450967788696,0.0,-0.08767916446258178
211,0,0,11,13,46.301450967788696,-1.975343108177185,44.32610785961151,0.0,-0.08584591180984255
212,0,0,11,14,44.32610785961151,-1.7396891117095947,42.58641874790192,0.0,-0.07535160080191111
213,0,0,11,15,42.58641874790192,0.13033223152160645,42.71675097942352,0.0,-0.04538661588515754
214,0,0,11,16,42.71675097942352,1.9999918937683105,44.71674287319183,0.0,-0.08721641862458138
215,0,0,11,17,44.71674287319183,2.0,46.71674287319183,0.0,-0.08921674287319184
216,0,0,11,18,46.71674287319183,2.0,48.71674287319183,0.0,-0.09121674287319184
217,0,0,11,19,48.71674287319183,2.0,50.0,0.0,-0.0925
218,0,0,11,20,50.0,2.0,50.0,0.0,-0.0925
219,0,0,12,1,50.0,2.0,50.0,0.0,-0.0925
220,0,0,12,2,50.0,2.0,50.0,0.0,-0.0925
221,0,0,12,3,50.0,2.0,50.0,0.0,-0.0925
222,0,0,12,4,50.0,2.0,50.0,0.0,-0.0925
223,0,0,12,5,50.0,2.0,50.0,0.0,-0.0925
224,0,0,12,6,50.0,2.0,50.0,0.0,-0.0925
225,0,0,12,7,50.0,2.0,50.0,0.0,-0.0925
226,0,0,12,8,50.0,2.0,50.0,0.0,-0.0925
227,0,0,12,9,50.0,2.0,50.0,0.0,-0.0925
228,0,0,12,10,50.0,-0.17813074588775635,49.821869254112244,0.0,-0.052639174880417534
229,0,0,12,11,49.821869254112244,-1.7002053260803223,48.12166392803192,0.0,-0.07952864543635088
230,0,0,12,12,48.12166392803192,-1.9584763050079346,46.16318762302399,0.0,-0.08701948199579931
231,0,0,12,13,46.16318762302399,-1.9609909057617188,44.20219671726227,0.0,-0.08515705004206393
232,0,0,12,14,44.20219671726227,-1.6560184955596924,42.546178221702576,0.0,-0.07247015079806045
233,0,0,12,15,42.546178221702576,0.16837859153747559,42.71455681324005,0.0,-0.045498070314121494
234,0,0,12,16,42.71455681324005,1.9999876022338867,44.71454441547394,0.0,-0.08721404850636646
235,0,0,12,17,44.71454441547394,2.0,46.71454441547394,0.0,-0.08921454441547394
236,0,0,12,18,46.71454441547394,2.0,48.71454441547394,0.0,-0.09121454441547394
237,0,0,12,19,48.71454441547394,2.0,50.0,0.0,-0.0925
238,0,0,12,20,50.0,2.0,50.0,0.0,-0.0925
239,0,0,13,1,50.0,2.0,50.0,0.0,-0.0925
240,0,0,13,2,50.0,2.0,50.0,0.0,-0.0925
241,0,0,13,3,50.0,2.0,50.0,0.0,-0.0925
242,0,0,13,4,50.0,2.0,50.0,0.0,-0.0925
243,0,0,13,5,50.0,2.0,50.0,0.0,-0.0925
244,0,0,13,6,50.0,2.0,50.0,0.0,-0.0925
245,0,0,13,7,50.0,2.0,50.0,0.0,-0.0925
246,0,0,13,8,50.0,2.0,50.0,0.0,-0.0925
247,0,0,13,9,50.0,2.0,50.0,0.0,-0.0925
248,0,0,13,10,50.0,-0.24426031112670898,49.75573968887329,0.0,-0.05285237068479046
249,0,0,13,11,49.75573968887329,-1.6479008197784424,48.10783886909485,0.0,-0.07776360998735948
250,0,0,13,12,48.10783886909485,-1.9353705644607544,46.172468304634094,0.0,-0.08612906052244548
251,0,0,13,13,46.172468304634094,-1.9424490928649902,44.230019211769104,0.0,-0.08446110399548934
252,0,0,13,14,44.230019211769104,-1.6061619520187378,42.623857259750366,0.0,-0.07092141942087679
253,0,0,13,15,42.623857259750366,0.02079606056213379,42.6446533203125,0.0,-0.045148978081661545
254,0,0,13,16,42.6446533203125,1.9999761581420898,44.64462947845459,0.0,-0.08714367580982253
255,0,0,13,17,44.64462947845459,2.0,46.64462947845459,0.0,-0.0891446294784546
256,0,0,13,18,46.64462947845459,2.0,48.64462947845459,0.0,-0.09114462947845459
257,0,0,13,19,48.64462947845459,2.0,50.0,0.0,-0.0925
258,0,0,13,20,50.0,2.0,50.0,0.0,-0.0925
