envId,formationType,timeStep,receiverId,sigma_rssi_bar,sigma_gps_bar,snr_bar,plr_bar,relative_speed_bar,relative_height_bar,trusted_count,trust_bar,theta,benign_exceedance_rate,mean_delta_d,max_delta_d,num_links
0,0,1,1,520.559663112419,520.559663112419,100.0,0.0497253000149759,0.0,3.21364808039565,16,0.999999999999997,10,0.0,2.084881974664504e-14,7.105427357600999e-14,19
0,0,1,2,516.239751717972,516.239751717973,100.0,0.043802340972852,0.0,4.32221631671215,16,0.999999999999998,10,0.0,1.3369422528117671e-14,4.9737991503207e-14,19
0,0,1,3,512.994387366995,512.994387366995,100.0,0.0381193888549141,0.0,4.85431290007986,16,0.999999999999998,10,0.0,1.266822903888073e-14,5.6843418860808e-14,19
0,0,1,4,510.830030613751,510.830030613751,100.0,0.0327540706210828,0.0,4.80355371647245,16,0.999999999999999,10,0.0,1.2901960201959711e-14,5.6843418860808e-14,19
0,0,1,5,489.077175968362,489.077175968362,100.0,0.0277859298549277,0.0,4.2708430095795,16,0.999999999999998,10,0.0,1.6594912578607598e-14,7.105427357600999e-14,19
0,0,1,6,436.534679904423,436.534679904423,100.0,0.0233603513806972,0.0,3.71834464389443,16,0.999999999999999,10,0.0,1.2200766712722771e-14,4.9737991503207e-14,19
0,0,1,7,368.100662159328,368.100662159328,100.0,0.0195989100512655,0.0,3.47387546252638,16,0.999999999999999,10,0.0,1.4257600947817798e-14,4.9737991503207e-14,19
0,0,1,8,297.107780226986,297.107780226986,100.0,0.0165897242606247,0.0,3.7056143714343,16,0.999999999999999,10,0.0,8.835037964385453e-15,2.8421709430404e-14,19
0,0,1,9,233.874176196091,233.874176196091,100.0,0.0143454311402705,0.0,4.35439417382098,16,0.999999999999998,10,0.0,1.5099033134902126e-14,5.6843418860808e-14,19
0,0,1,10,184.722198235237,184.722198235237,100.0,0.0128045083072577,0.0,5.1466077684938,16,0.999999999999999,10,0.0,9.95694754716456e-15,4.2632564145606e-14,19
0,0,1,11,152.762728908832,152.762728908833,100.0,0.0118772860723444,0.0,5.664430100931,16,0.999999999999999,10,0.0,8.741545499153863e-15,2.8421709430404e-14,19
0,0,1,12,139.680683127699,139.680683127699,100.0,0.0115083315294004,0.0,5.5014610588826,16,0.999999999999999,10,0.0,1.019067871024354e-14,4.2632564145606e-14,19
0,0,1,13,147.037441285924,147.037441285925,100.0,0.0117152099499299,0.0,4.8069439767958,16,0.999999999999999,10,0.0,1.6641658811223392e-14,4.9737991503207e-14,19
0,0,1,14,176.17199454978,176.17199454978,100.0,0.0125783864882691,0.0,4.03227230485138,16,0.999999999999999,10,0.0,7.011934892369409e-15,1.4210854715202e-14,19
0,0,1,15,226.615376618697,226.615376618697,100.0,0.0141889764553202,0.0,3.54394090342555,16,0.999999999999999,10,0.0,1.5893719089370656e-14,7.105427357600999e-14,19
0,0,1,16,294.091066061276,294.091066061276,100.0,0.0165883178460349,0.0,3.5271321361056,16,0.999999999999999,10,0.0,1.1546319456101625e-14,4.2632564145606e-14,19
0,0,1,17,369.885897792412,369.885897792411,100.0,0.019737778163155,0.0,3.9394153109215,16,0.999999999999999,10,0.0,1.5099033134902123e-14,7.105427357600999e-14,19
0,0,1,18,442.159776860333,442.159776860334,100.0,0.0235370169797841,0.0,4.5245633933071,16,0.999999999999999,10,0.0,1.3369422528117671e-14,5.6843418860808e-14,19
